date,token,open,high,low,close,volume,buy_qty,sell_qty,buy_usd,sell_usd,PERMNO,BIDLO,ASKHI,PRC,OPENPRC,VOL,SHROUT,EXCHCD,Ret
2022-02-28,USD_BTC_perpetual_swap,37672.0,43574.2,37427.8,43211.2,953890.5130000408,503761.7540000263,450128.7590000144,20207287004.246517,18012846251.368073,USD_BTC_perpetual_swap,37427.8,43574.2,43211.2,37672.0,953890.5130000408,1000000,0,
2022-02-28,USD_ETH_perpetual_swap,2615.99,2913.76,2582.32,2924.76,5264040.375000015,2672172.8700000057,2591867.505000009,7279873412.348428,7043360511.324419,USD_ETH_perpetual_swap,2582.32,2913.76,2924.76,2615.99,5264040.375000015,1000000,0,
2022-02-28,USD_BNB_perpetual_swap,359.97,395.25,355.87,395.77,304007422.3300711,151662108.8200334,152345313.51003766,55798341978.61142,56007811483.434944,USD_BNB_perpetual_swap,355.87,395.25,395.77,359.97,304007422.3300711,1000000,0,
2022-02-28,USD_DOGE_perpetual_swap,0.12283,0.13407,0.12134,0.13348,422378934937.0,203649490235.0,218729444702.0,25430347860.473465,27293361948.761505,USD_DOGE_perpetual_swap,0.12134,0.13407,0.13348,0.12283,422378934937.0,1000000,0,
2022-03-01,USD_ETH_perpetual_swap,2920.31,3022.73,2858.3,2976.0,4498650.089000024,2240950.209000012,2257699.880000012,6597284312.908637,6642787188.093592,USD_ETH_perpetual_swap,2858.3,3022.73,2976.0,2920.31,4498650.089000024,1000000,0,0.01751938620604765
2022-03-01,USD_DOGE_perpetual_swap,0.13343,0.13623,0.12966,0.13408,521052727580.0,245441721029.0,275611006551.0,32704595427.84586,36715428581.31519,USD_DOGE_perpetual_swap,0.12966,0.13623,0.13408,0.13343,521052727580.0,1000000,0,0.0044950554390172925
2022-03-01,USD_BNB_perpetual_swap,395.5,416.12,391.07,408.63,582439063.2703125,295536978.9801564,286902084.29015625,120167324759.39812,116603432843.0768,USD_BNB_perpetual_swap,391.07,416.12,408.63,395.5,582439063.2703127,1000000,0,0.032493620031836645
2022-03-01,USD_BTC_perpetual_swap,43158.0,44630.0,42925.1,44399.6,696126.2560000006,348880.4970000007,347245.759,15269064577.438354,15187612066.4386,USD_BTC_perpetual_swap,42925.1,44630.0,44399.6,43158.0,696126.2560000008,1000000,0,0.027502129077646487
2022-03-02,USD_ETH_perpetual_swap,2975.61,3023.4,2917.47,2949.71,4071369.764000016,2007626.3370000063,2063743.4270000092,5973345356.670057,6136929265.278599,USD_ETH_perpetual_swap,2917.47,3023.4,2949.71,2975.61,4071369.7640000153,1000000,0,-0.008834005376344045
2022-03-02,USD_DOGE_perpetual_swap,0.13406,0.13558,0.13085,0.13304,462626730691.0,219258249821.0,243368480870.0,29329369781.092247,32543798550.489586,USD_DOGE_perpetual_swap,0.13085,0.13558,0.13304,0.13406,462626730691.0,1000000,0,-0.007756563245823522
2022-03-02,USD_BNB_perpetual_swap,408.56,414.03,403.78,409.15,290873267.1400794,137767326.96004316,153105940.18003622,56490988297.83888,62768499432.81696,USD_BNB_perpetual_swap,403.78,414.03,409.15,408.56,290873267.1400794,1000000,0,0.0012725448449697474
2022-03-02,USD_BTC_perpetual_swap,44393.6,44814.3,43401.9,43920.0,632694.9200000162,312762.38200000883,319932.53800000745,13805404463.470078,14116131021.229834,USD_BTC_perpetual_swap,43401.9,44814.3,43920.0,44393.6,632694.9200000162,1000000,0,-0.010801899116208213
