date,token,open,high,low,close,volume,buy_qty,sell_qty,buy_usd,sell_usd,PERMNO,BIDLO,ASKHI,PRC,OPENPRC,VOL,SHROUT,EXCHCD,Ret,next_1d_ret,next_7d_ret,next_30d_ret,next_180d_ret,next_360d_ret,next_week_ret,next_month_ret,next_quarter_ret,next_year_ret,Date,StockID,MarketCap,next_week_ret_0delay
2022-02-28,USD_BTC_perpetual_swap,37672.0,43574.2,37427.8,43211.2,953890.5130000408,503761.7540000263,450128.7590000144,20207287004.246517,18012846251.368073,USD_BTC_perpetual_swap,37427.8,43574.2,43211.2,37672.0,953890.5130000408,1000000,0,,-0.02676600690096309,0.1354963486962255,-0.08253164126943024,1.155860224710132,0.8051676240208876,0.1354963486962255,-0.08253164126943024,1.155860224710132,0.8051676240208876,2022-02-28,USD_BTC_perpetual_swap,100000,0.1354963486962255
2022-02-28,USD_ETH_perpetual_swap,2615.99,2913.76,2582.32,2924.76,5264040.375000015,2672172.8700000057,2591867.505000009,7279873412.348428,7043360511.324419,USD_ETH_perpetual_swap,2582.32,2913.76,2924.76,2615.99,5264040.375000015,1000000,0,,-0.017217741935483755,0.17144093050081732,-0.13651044834284964,0.9584440977360538,0.771937477280989,0.17144093050081732,-0.13651044834284964,0.9584440977360538,0.771937477280989,2022-02-28,USD_ETH_perpetual_swap,100000,0.17144093050081732
2022-02-28,USD_BNB_perpetual_swap,359.97,395.25,355.87,395.77,304007422.3300711,151662108.8200334,152345313.51003766,55798341978.61142,56007811483.434944,USD_BNB_perpetual_swap,355.87,395.25,395.77,359.97,304007422.3300711,1000000,0,,-0.03147101289675258,0.037976343465603524,-0.10663416175707097,0.4234282837001868,0.2828849270664504,0.037976343465603524,-0.10663416175707097,0.4234282837001868,0.2828849270664504,2022-02-28,USD_BNB_perpetual_swap,100000,0.037976343465603524
2022-02-28,USD_DOGE_perpetual_swap,0.12283,0.13407,0.12134,0.13348,422378934937.0,203649490235.0,218729444702.0,25430347860.473465,27293361948.761505,USD_DOGE_perpetual_swap,0.12134,0.13407,0.13348,0.12283,422378934937.0,1000000,0,,-0.004474940334128985,0.14144005472892074,-0.06950156849076339,1.1013853904282116,0.5837683910773612,0.14144005472892074,-0.06950156849076339,1.1013853904282116,0.5837683910773612,2022-02-28,USD_DOGE_perpetual_swap,100000,0.14144005472892074
2022-03-01,USD_ETH_perpetual_swap,2920.31,3022.73,2858.3,2976.0,4498650.089000024,2240950.209000012,2257699.880000012,6597284312.908637,6642787188.093592,USD_ETH_perpetual_swap,2858.3,3022.73,2976.0,2920.31,4498650.089000024,1000000,0,0.01751938620604765,0.008912740574497091,0.1544862419843509,-0.09357553384928863,1.0826043751487076,0.850067450375795,0.1544862419843509,-0.09357553384928863,1.0826043751487076,0.850067450375795,2022-03-01,USD_ETH_perpetual_swap,100000,0.1544862419843509
2022-03-01,USD_DOGE_perpetual_swap,0.13343,0.13623,0.12966,0.13408,521052727580.0,245441721029.0,275611006551.0,32704595427.84586,36715428581.31519,USD_DOGE_perpetual_swap,0.12966,0.13623,0.13408,0.13343,521052727580.0,1000000,0,0.0044950554390172925,0.00781719783523771,0.1456891395368709,-0.03016274864376134,1.170632993362474,0.6575596489059217,0.1456891395368709,-0.03016274864376134,1.170632993362474,0.6575596489059217,2022-03-01,USD_DOGE_perpetual_swap,100000,0.1456891395368709
2022-03-01,USD_BNB_perpetual_swap,395.5,416.12,391.07,408.63,582439063.2703125,295536978.9801564,286902084.29015625,120167324759.39812,116603432843.0768,USD_BNB_perpetual_swap,391.07,416.12,408.63,395.5,582439063.2703127,1000000,0,0.032493620031836645,-0.0012709275326896474,0.07052474391553809,-0.04750472016969298,0.47808001157491153,0.3525868061302173,0.07052474391553809,-0.04750472016969298,0.47808001157491153,0.3525868061302173,2022-03-01,USD_BNB_perpetual_swap,100000,0.07052474391553809
2022-03-01,USD_BTC_perpetual_swap,43158.0,44630.0,42925.1,44399.6,696126.2560000006,348880.4970000007,347245.759,15269064577.438354,15187612066.4386,USD_BTC_perpetual_swap,42925.1,44630.0,44399.6,43158.0,696126.2560000008,1000000,0,0.027502129077646487,0.01091985428051001,0.14620728467760058,-0.024904685770507973,1.2672869420457853,0.913965608659479,0.14620728467760058,-0.024904685770507973,1.2672869420457853,0.913965608659479,2022-03-01,USD_BTC_perpetual_swap,100000,0.14620728467760058
2022-03-02,USD_ETH_perpetual_swap,2975.61,3023.4,2917.47,2949.71,4071369.764000016,2007626.3370000063,2063743.4270000092,5973345356.670057,6136929265.278599,USD_ETH_perpetual_swap,2917.47,3023.4,2949.71,2975.61,4071369.7640000153,1000000,0,-0.008834005376344045,0.04033364487629387,0.0785321744980676,-0.14640456298851445,0.8985434487375052,0.8493943421778603,0.0785321744980676,-0.14640456298851445,0.8985434487375052,0.8493943421778603,2022-03-02,USD_ETH_perpetual_swap,100000,0.0785321744980676
2022-03-02,USD_DOGE_perpetual_swap,0.13406,0.13558,0.13085,0.13304,462626730691.0,219258249821.0,243368480870.0,29329369781.092247,32543798550.489586,USD_DOGE_perpetual_swap,0.13085,0.13558,0.13304,0.13406,462626730691.0,1000000,0,-0.007756563245823522,0.026464007406835854,0.09470912531885123,-0.059123055162659144,1.0823290029738613,0.6461271962385546,0.09470912531885123,-0.059123055162659144,1.0823290029738613,0.6461271962385546,2022-03-02,USD_DOGE_perpetual_swap,100000,0.09470912531885123
2022-03-02,USD_BNB_perpetual_swap,408.56,414.03,403.78,409.15,290873267.1400794,137767326.96004316,153105940.18003622,56490988297.83888,62768499432.81696,USD_BNB_perpetual_swap,403.78,414.03,409.15,408.56,290873267.1400794,1000000,0,0.0012725448449697474,0.01672382088365376,0.039771283354510745,-0.08720774585043733,0.42969459780557684,0.3535016044195969,0.039771283354510745,-0.08720774585043733,0.42969459780557684,0.3535016044195969,2022-03-02,USD_BNB_perpetual_swap,100000,0.039771283354510745
2022-03-02,USD_BTC_perpetual_swap,44393.6,44814.3,43401.9,43920.0,632694.9200000162,312762.38200000883,319932.53800000745,13805404463.470078,14116131021.229834,USD_BTC_perpetual_swap,43401.9,44814.3,43920.0,44393.6,632694.9200000162,1000000,0,-0.010801899116208213,0.034037052994398964,0.04571428571428582,-0.050850387915198914,1.163589430333603,0.8958246103243017,0.04571428571428582,-0.050850387915198914,1.163589430333603,0.8958246103243017,2022-03-02,USD_BTC_perpetual_swap,100000,0.04571428571428582
2022-03-03,USD_ETH_perpetual_swap,2947.48,2962.4,2791.19,2835.35,2621495.4030000046,1277439.190000002,1344056.2130000023,3677582942.9290714,3868144445.97944,USD_ETH_perpetual_swap,2791.19,2962.4,2835.35,2947.48,2621495.4030000046,1000000,0,-0.038769912974495835,0.08154655416410761,0.08775382585043401,-0.1770573927984722,0.8606856452861886,0.7272921108742003,0.08775382585043401,-0.1770573927984722,0.8606856452861886,0.7272921108742003,2022-03-03,USD_ETH_perpetual_swap,100000,0.08775382585043401
2022-03-03,USD_BTC_perpetual_swap,43889.5,43959.6,41837.8,42474.3,455501.8679999975,222594.23599999855,232907.63199999888,9587849874.25164,10027478614.602411,USD_BTC_perpetual_swap,41837.8,43959.6,42474.3,43889.5,455501.86799999746,1000000,0,-0.032916666666666594,0.08526947576596133,0.07682810269775553,-0.07330147925121078,1.1446575812812112,0.803334578740893,0.07682810269775553,-0.07330147925121078,1.1446575812812112,0.803334578740893,2022-03-03,USD_BTC_perpetual_swap,100000,0.07682810269775553
2022-03-03,USD_BNB_perpetual_swap,408.95,411.75,397.34,402.42,189388015.63002023,93404782.34000996,95983233.2900103,37982667441.89102,39010088113.51866,USD_BNB_perpetual_swap,397.34,411.75,402.42,408.95,189388015.63002026,1000000,0,-0.01644873518269574,0.07506945928617226,0.08197779151990958,-0.07976217699519783,0.42991152329175986,0.3037646601438475,0.08197779151990958,-0.07976217699519783,0.42991152329175986,0.3037646601438475,2022-03-03,USD_BNB_perpetual_swap,100000,0.08197779151990958
2022-03-03,USD_DOGE_perpetual_swap,0.13301,0.13343,0.12734,0.12961,276563972038.0,129568007244.0,146995964794.0,17060547912.202272,19349987013.705284,USD_DOGE_perpetual_swap,0.12734,0.13343,0.12961,0.13301,276563972038.0,1000000,0,-0.025781719783523616,0.05812719405665767,0.109769672060964,-0.06641215875531226,1.1078224101479917,0.5765721931638486,0.109769672060964,-0.06641215875531226,1.1078224101479917,0.5765721931638486,2022-03-03,USD_DOGE_perpetual_swap,100000,0.109769672060964
2022-03-04,USD_ETH_perpetual_swap,2832.97,2828.01,2582.37,2621.57,2431348.023000006,1181660.0580000044,1249687.9650000017,3185518260.612349,3369916894.1459293,USD_ETH_perpetual_swap,2582.37,2828.01,2621.57,2832.97,2431348.023000006,1000000,0,-0.0753980990001234,-0.01638501598355102,0.024751294830450465,-0.2560663804332094,0.6862332683686136,0.6042309198609683,0.024751294830450465,-0.2560663804332094,0.6862332683686136,0.6042309198609683,2022-03-04,USD_ETH_perpetual_swap,100000,0.024751294830450465
2022-03-04,USD_BNB_perpetual_swap,402.24,401.54,372.51,374.32,171854655.8400092,80909461.83000256,90945194.01000664,31735578555.727272,35675898324.04198,USD_BNB_perpetual_swap,372.51,401.54,374.32,402.24,171854655.8400092,1000000,0,-0.06982754336265595,-0.027234927234927264,0.006209510497029669,-0.16945128580620827,0.3410719403840641,0.22860800210063337,0.006209510497029669,-0.16945128580620827,0.3410719403840641,0.22860800210063337,2022-03-04,USD_BNB_perpetual_swap,100000,0.006209510497029669
2022-03-04,USD_BTC_perpetual_swap,42449.6,42400.8,38633.0,39137.1,469134.2599999987,224730.31399999835,244403.9460000004,9164591141.917664,9959299336.98007,USD_BTC_perpetual_swap,38633.0,42400.8,39137.1,42449.6,469134.2599999987,1000000,0,-0.0785698646004761,-0.006672588832487336,0.009908884708578203,-0.15729081434908065,0.9522282191206837,0.6647921833193668,0.009908884708578203,-0.15729081434908065,0.9522282191206837,0.6647921833193668,2022-03-04,USD_BTC_perpetual_swap,100000,0.009908884708578203
2022-03-04,USD_DOGE_perpetual_swap,0.12957,0.12936,0.12103,0.12249,262127900080.0,126861392749.0,135266507331.0,16020222038.713243,17088172194.670368,USD_DOGE_perpetual_swap,0.12103,0.12936,0.12249,0.12957,262127900080.0,1000000,0,-0.05493403286783427,-0.019530937324901965,0.060427668600121276,-0.16571311810380063,0.9975538160469668,0.5055309734513274,0.060427668600121276,-0.16571311810380063,0.9975538160469668,0.5055309734513274,2022-03-04,USD_DOGE_perpetual_swap,100000,0.060427668600121276
2022-03-05,USD_BTC_perpetual_swap,39127.7,39500.2,38732.4,39400.0,198745.7389999991,99499.23699999956,99246.50199999954,3893154860.484869,3881411481.307499,USD_BTC_perpetual_swap,38732.4,39500.2,39400.0,39127.7,198745.7389999991,1000000,0,0.006717411356487846,0.025916098810822685,0.014073486868520613,-0.15483289716418547,0.9566847602067929,0.7034154777345438,0.014073486868520613,-0.15483289716418547,0.9566847602067929,0.7034154777345438,2022-03-05,USD_BTC_perpetual_swap,100000,0.014073486868520613
